Total owed a prevention or relief duty,2020_people_per_sq_km,Income_deprivation_score_2019,GDP_2019,median_earnings_2020,median_house_price_2020 ,white,Black / African / Caribbean / Black British: African,Asian/Asian_Britian,Mixed / Multiple ethnic groups,"Full-time
 work","Part-time
 work",Student / training,Registered unemployed,Not registered but seeking work,Not seeking work / at home,Not working due to long-term illness / disability,Retired
12.000000 ,3785.000000 ,0.065000 ,7282005.000000 ,61471.000000 ,780000.000000 ,0.420000 ,0.170000 ,0.170000 ,0.080000 ,0.666700 ,0.083300 ,0.000000 ,0.083300 ,0.000000 ,0.000000 ,0.083300 ,0.000000 
738.000000 ,601.000000 ,0.099000 ,26202.000000 ,28775.000000 ,265000.000000 ,0.790000 ,0.030000 ,0.020000 ,0.010000 ,0.119200 ,0.088100 ,0.010800 ,0.262900 ,0.032500 ,0.138200 ,0.210000 ,0.028500 
283.000000 ,93.000000 ,0.130000 ,25274.000000 ,49541.000000 ,123500.000000 ,0.980000 ,0.010000 ,0.000000 ,0.000000 ,0.120100 ,0.088300 ,0.010600 ,0.452300 ,0.081300 ,0.014100 ,0.166100 ,0.028300 
3223.000000 ,162.000000 ,0.130000 ,23253.000000 ,25614.000000 ,235000.000000 ,0.940000 ,0.000000 ,0.000000 ,0.010000 ,0.096200 ,0.099300 ,0.032900 ,0.368900 ,0.054600 ,0.053100 ,0.188600 ,0.036300 
219.000000 ,78.000000 ,0.064000 ,47313.000000 ,25000.000000 ,360000.000000 ,0.950000 ,0.020000 ,0.000000 ,0.000000 ,0.159800 ,0.105000 ,0.004600 ,0.219200 ,0.109600 ,0.059400 ,0.159800 ,0.032000 
2643.000000 ,240.000000 ,0.165000 ,20061.000000 ,26495.000000 ,109000.000000 ,0.780000 ,0.000000 ,0.000000 ,0.000000 ,0.022300 ,0.010600 ,0.003000 ,0.163800 ,0.003400 ,0.023500 ,0.067300 ,0.005700 
2503.000000 ,3846.000000 ,0.154000 ,29608.000000 ,32495.000000 ,182750.000000 ,0.670000 ,0.120000 ,0.070000 ,0.060000 ,0.112700 ,0.069900 ,0.013600 ,0.576100 ,0.024400 ,0.036800 ,0.107900 ,0.007600 
85.000000 ,49.000000 ,0.067000 ,31074.000000 ,27701.000000 ,218000.000000 ,0.930000 ,0.000000 ,0.010000 ,0.000000 ,0.129400 ,0.105900 ,0.070600 ,0.341200 ,0.058800 ,0.011800 ,0.129400 ,0.058800 
719.000000 ,2501.000000 ,0.110000 ,61209.000000 ,36132.000000 ,294500.000000 ,0.660000 ,0.080000 ,0.080000 ,0.040000 ,0.146000 ,0.107100 ,0.001400 ,0.440900 ,0.032000 ,0.070900 ,0.098700 ,0.019500 
2287.000000 ,4493.000000 ,0.136000 ,29254.000000 ,34387.000000 ,385000.000000 ,0.300000 ,0.400000 ,0.070000 ,0.110000 ,0.118900 ,0.136400 ,0.026700 ,0.280300 ,0.056000 ,0.036300 ,0.116700 ,0.010100 
840.000000 ,732.000000 ,0.085000 ,33048.000000 ,30666.000000 ,385000.000000 ,0.640000 ,0.030000 ,0.030000 ,0.030000 ,0.123800 ,0.089300 ,0.025000 ,0.296400 ,0.017900 ,0.089300 ,0.069000 ,0.013100 
711.000000 ,544.000000 ,0.153000 ,27583.000000 ,27963.000000 ,135000.000000 ,0.940000 ,0.010000 ,0.000000 ,0.010000 ,0.118100 ,0.060500 ,0.022500 ,0.461300 ,0.021100 ,0.057700 ,0.203900 ,0.014100 
2195.000000 ,3291.000000 ,0.158000 ,32387.000000 ,40722.000000 ,165000.000000 ,0.670000 ,0.080000 ,0.100000 ,0.050000 ,0.113000 ,0.083800 ,0.009100 ,0.475600 ,0.021900 ,0.133900 ,0.130300 ,0.009600 
241.000000 ,91.000000 ,0.068000 ,26069.000000 ,26008.000000 ,253750.000000 ,0.970000 ,0.000000 ,0.010000 ,0.010000 ,0.215800 ,0.132800 ,0.000000 ,0.236500 ,0.020700 ,0.074700 ,0.178400 ,0.074700 
1662.000000 ,551.000000 ,0.166000 ,22352.000000 ,27670.000000 ,134500.000000 ,0.940000 ,0.020000 ,0.010000 ,0.010000 ,0.070400 ,0.060200 ,0.007200 ,0.405500 ,0.093300 ,0.105900 ,0.175700 ,0.015000 
1351.000000 ,152.000000 ,0.088000 ,24140.000000 ,29989.000000 ,290000.000000 ,0.940000 ,0.010000 ,0.010000 ,0.010000 ,0.120700 ,0.106600 ,0.020000 ,0.215400 ,0.055500 ,0.075500 ,0.219800 ,0.034000 
461.000000 ,376.000000 ,0.134000 ,25139.000000 ,35574.000000 ,245000.000000 ,0.940000 ,0.010000 ,0.010000 ,0.010000 ,0.095400 ,0.086800 ,0.021700 ,0.331900 ,0.049900 ,0.095400 ,0.195200 ,0.036900 
1671.000000 ,3291.000000 ,0.156000 ,19781.000000 ,28909.000000 ,176000.000000 ,0.790000 ,0.050000 ,0.050000 ,0.030000 ,0.135200 ,0.065800 ,0.009600 ,0.611600 ,0.015600 ,0.016800 ,0.083800 ,0.018000 
2439.000000 ,6128.000000 ,0.140000 ,31500.000000 ,32741.000000 ,485000.000000 ,0.290000 ,0.300000 ,0.200000 ,0.090000 ,0.117700 ,0.120100 ,0.016400 ,0.476800 ,0.062700 ,0.036900 ,0.067200 ,0.019300 
573.000000 ,182.000000 ,0.081000 ,22480.000000 ,27866.000000 ,283000.000000 ,0.980000 ,0.000000 ,0.010000 ,0.010000 ,0.169300 ,0.150100 ,0.041900 ,0.240800 ,0.017500 ,0.066300 ,0.209400 ,0.059300 
288.000000 ,241.000000 ,0.060000 ,26140.000000 ,29405.000000 ,350000.000000 ,0.930000 ,0.020000 ,0.010000 ,0.020000 ,0.194400 ,0.121500 ,0.003500 ,0.340300 ,0.034700 ,0.104200 ,0.107600 ,0.038200 
461.000000 ,319.000000 ,0.060000 ,32199.000000 ,32275.000000 ,400000.000000 ,0.890000 ,0.050000 ,0.000000 ,0.010000 ,0.177900 ,0.132300 ,0.013000 ,0.223400 ,0.078100 ,0.110600 ,0.160500 ,0.026000 
407.000000 ,143.000000 ,0.096000 ,24671.000000 ,29436.000000 ,177000.000000 ,0.970000 ,0.000000 ,0.000000 ,0.000000 ,0.108100 ,0.103200 ,0.022100 ,0.336600 ,0.017200 ,0.100700 ,0.167100 ,0.068800 
